date,suburb,property_type,bedrooms,bathrooms,average_rent
2022-01-01,Nedlands,House,1,1,511
2022-01-01,Nedlands,House,2,1,642
2022-01-01,Nedlands,House,2,2,707
2022-01-01,Nedlands,House,3,1,730
2022-01-01,Nedlands,House,3,2,803
2022-01-01,Nedlands,House,3,3,876
2022-01-01,Nedlands,House,4,1,839
2022-01-01,Nedlands,House,4,2,923
2022-01-01,Nedlands,House,4,3,1007
2022-01-01,Nedlands,House,5,1,949
2022-01-01,Nedlands,House,5,2,1044
2022-01-01,Nedlands,House,5,3,1139
2022-01-01,Nedlands,Townhouse,1,1,485
2022-01-01,Nedlands,Townhouse,2,1,610
2022-01-01,Nedlands,Townhouse,2,2,671
2022-01-01,Nedlands,Townhouse,3,1,694
2022-01-01,Nedlands,Townhouse,3,2,763
2022-01-01,Nedlands,Townhouse,3,3,832
2022-01-01,Nedlands,Townhouse,4,1,798
2022-01-01,Nedlands,Townhouse,4,2,877
2022-01-01,Nedlands,Townhouse,4,3,957
2022-01-01,Nedlands,Townhouse,5,1,902
2022-01-01,Nedlands,Townhouse,5,2,992
2022-01-01,Nedlands,Townhouse,5,3,1082
2022-01-01,Nedlands,Apartment,1,1,434
2022-01-01,Nedlands,Apartment,2,1,546
2022-01-01,Nedlands,Apartment,2,2,601
2022-01-01,Nedlands,Apartment,3,1,620
2022-01-01,Nedlands,Apartment,3,2,683
2022-01-01,Nedlands,Apartment,3,3,745
2022-04-01,Nedlands,House,1,1,532
2022-04-01,Nedlands,House,2,1,669
2022-04-01,Nedlands,House,2,2,736
2022-04-01,Nedlands,House,3,1,760
2022-04-01,Nedlands,House,3,2,836
2022-04-01,Nedlands,House,3,3,912
2022-04-01,Nedlands,House,4,1,874
2022-04-01,Nedlands,House,4,2,961
2022-04-01,Nedlands,House,4,3,1049
2022-04-01,Nedlands,House,5,1,988
2022-04-01,Nedlands,House,5,2,1087
2022-04-01,Nedlands,House,5,3,1186
2022-04-01,Nedlands,Townhouse,1,1,505
2022-04-01,Nedlands,Townhouse,2,1,635
2022-04-01,Nedlands,Townhouse,2,2,699
2022-04-01,Nedlands,Townhouse,3,1,722
2022-04-01,Nedlands,Townhouse,3,2,794
2022-04-01,Nedlands,Townhouse,3,3,866
2022-04-01,Nedlands,Townhouse,4,1,830
2022-04-01,Nedlands,Townhouse,4,2,913
2022-04-01,Nedlands,Townhouse,4,3,996
2022-04-01,Nedlands,Townhouse,5,1,939
2022-04-01,Nedlands,Townhouse,5,2,1032
2022-04-01,Nedlands,Townhouse,5,3,1126
2022-04-01,Nedlands,Apartment,1,1,452
2022-04-01,Nedlands,Apartment,2,1,568
2022-04-01,Nedlands,Apartment,2,2,625
2022-04-01,Nedlands,Apartment,3,1,646
2022-04-01,Nedlands,Apartment,3,2,711
2022-04-01,Nedlands,Apartment,3,3,775
2022-07-01,Nedlands,House,1,1,532
2022-07-01,Nedlands,House,2,1,669
2022-07-01,Nedlands,House,2,2,736
2022-07-01,Nedlands,House,3,1,760
2022-07-01,Nedlands,House,3,2,836
2022-07-01,Nedlands,House,3,3,912
2022-07-01,Nedlands,House,4,1,874
2022-07-01,Nedlands,House,4,2,961
2022-07-01,Nedlands,House,4,3,1049
2022-07-01,Nedlands,House,5,1,988
2022-07-01,Nedlands,House,5,2,1087
2022-07-01,Nedlands,House,5,3,1186
2022-07-01,Nedlands,Townhouse,1,1,505
2022-07-01,Nedlands,Townhouse,2,1,635
2022-07-01,Nedlands,Townhouse,2,2,699
2022-07-01,Nedlands,Townhouse,3,1,722
2022-07-01,Nedlands,Townhouse,3,2,794
2022-07-01,Nedlands,Townhouse,3,3,866
2022-07-01,Nedlands,Townhouse,4,1,830
2022-07-01,Nedlands,Townhouse,4,2,913
2022-07-01,Nedlands,Townhouse,4,3,996
2022-07-01,Nedlands,Townhouse,5,1,939
2022-07-01,Nedlands,Townhouse,5,2,1032
2022-07-01,Nedlands,Townhouse,5,3,1126
2022-07-01,Nedlands,Apartment,1,1,452
2022-07-01,Nedlands,Apartment,2,1,568
2022-07-01,Nedlands,Apartment,2,2,625
2022-07-01,Nedlands,Apartment,3,1,646
2022-07-01,Nedlands,Apartment,3,2,711
2022-07-01,Nedlands,Apartment,3,3,775
2022-10-01,Nedlands,House,1,1,546
2022-10-01,Nedlands,House,2,1,686
2022-10-01,Nedlands,House,2,2,755
2022-10-01,Nedlands,House,3,1,780
2022-10-01,Nedlands,House,3,2,858
2022-10-01,Nedlands,House,3,3,936
2022-10-01,Nedlands,House,4,1,897
2022-10-01,Nedlands,House,4,2,987
2022-10-01,Nedlands,House,4,3,1076
2022-10-01,Nedlands,House,5,1,1014
2022-10-01,Nedlands,House,5,2,1115
2022-10-01,Nedlands,House,5,3,1217
2022-10-01,Nedlands,Townhouse,1,1,519
2022-10-01,Nedlands,Townhouse,2,1,652
2022-10-01,Nedlands,Townhouse,2,2,717
2022-10-01,Nedlands,Townhouse,3,1,741
2022-10-01,Nedlands,Townhouse,3,2,815
2022-10-01,Nedlands,Townhouse,3,3,889
2022-10-01,Nedlands,Townhouse,4,1,852
2022-10-01,Nedlands,Townhouse,4,2,937
2022-10-01,Nedlands,Townhouse,4,3,1023
2022-10-01,Nedlands,Townhouse,5,1,963
2022-10-01,Nedlands,Townhouse,5,2,1060
2022-10-01,Nedlands,Townhouse,5,3,1156
2022-10-01,Nedlands,Apartment,1,1,464
2022-10-01,Nedlands,Apartment,2,1,583
2022-10-01,Nedlands,Apartment,2,2,642
2022-10-01,Nedlands,Apartment,3,1,663
2022-10-01,Nedlands,Apartment,3,2,729
2022-10-01,Nedlands,Apartment,3,3,796
2023-01-01,Nedlands,House,1,1,567
2023-01-01,Nedlands,House,2,1,713
2023-01-01,Nedlands,House,2,2,784
2023-01-01,Nedlands,House,3,1,810
2023-01-01,Nedlands,House,3,2,891
2023-01-01,Nedlands,House,3,3,972
2023-01-01,Nedlands,House,4,1,931
2023-01-01,Nedlands,House,4,2,1025
2023-01-01,Nedlands,House,4,3,1118
2023-01-01,Nedlands,House,5,1,1053
2023-01-01,Nedlands,House,5,2,1158
2023-01-01,Nedlands,House,5,3,1264
2023-01-01,Nedlands,Townhouse,1,1,539
2023-01-01,Nedlands,Townhouse,2,1,677
2023-01-01,Nedlands,Townhouse,2,2,745
2023-01-01,Nedlands,Townhouse,3,1,770
2023-01-01,Nedlands,Townhouse,3,2,846
2023-01-01,Nedlands,Townhouse,3,3,923
2023-01-01,Nedlands,Townhouse,4,1,885
2023-01-01,Nedlands,Townhouse,4,2,973
2023-01-01,Nedlands,Townhouse,4,3,1062
2023-01-01,Nedlands,Townhouse,5,1,1000
2023-01-01,Nedlands,Townhouse,5,2,1100
2023-01-01,Nedlands,Townhouse,5,3,1200
2023-01-01,Nedlands,Apartment,1,1,482
2023-01-01,Nedlands,Apartment,2,1,606
2023-01-01,Nedlands,Apartment,2,2,666
2023-01-01,Nedlands,Apartment,3,1,688
2023-01-01,Nedlands,Apartment,3,2,757
2023-01-01,Nedlands,Apartment,3,3,826
2023-04-01,Nedlands,House,1,1,581
2023-04-01,Nedlands,House,2,1,730
2023-04-01,Nedlands,House,2,2,803
2023-04-01,Nedlands,House,3,1,830
